U_AC_1_1,U_DC_1_1,Phase_1_1,U_AC_1_2,U_DC_1_2,Phase_1_2,U_AC_2_1,U_DC_2_1,Phase_2_1,U_AC_2_2,U_DC_2_2,Phase_2_2,U_AC_3_1,U_DC_3_1,Phase_3_1,U_AC_3_2,U_DC_3_2,Phase_3_2,U_AC_4_1,U_DC_4_1,Phase_4_1,U_AC_4_2,U_DC_4_2,Phase_4_2
6.005410122313062e-06,6.093480710173697e-06,-0.4080441569643439,9.44960856954696e-06,9.531941525090056e-06,-0.3173183893177898,8.574377322554192e-07,8.742157598671438e-07,-0.5271821754617408,1.4933559053070768e-06,1.5104696686407635e-06,-0.4074821498633169,1.4187914329182136e-07,1.451122614586376e-07,-0.6430049650084528,2.468422311733592e-07,2.502646564449285e-07,-0.4978622528621332,2.0267279421207632e-08,2.0786998963910413e-08,-0.7992847680837994,4.274251837574576e-08,4.34609415080562e-08,-0.5901120590922897
9.281702470384025e-06,9.445289255266032e-06,-0.4326670327169555,1.3664291638866384e-05,1.3808352019106836e-05,-0.3326407710848046,1.5003491951350049e-06,1.535572622887327e-06,-0.5578959178318076,2.3573299964400068e-06,2.3893439040817054e-06,-0.4324173388949106,2.7216602979044064e-07,2.7986822634773826e-07,-0.6874258754606579,4.377231708808128e-07,4.4509824054098586e-07,-0.5238483062886329,4.528087891813724e-08,4.686806014890387e-08,-0.8365696795772846,9.428885877686935e-08,9.630082941846921e-08,-0.6006807687175636
8.594222135244055e-06,8.740505229182009e-06,-0.4268036252900124,1.280428271324435e-05,1.2933186658486996e-05,-0.3306805227041669,1.3631420302669282e-06,1.3940584542977526e-06,-0.5516757841591722,2.1277210968688164e-06,2.1560130771649e-06,-0.4279231211549346,2.430091520902315e-07,2.4956761121939084e-07,-0.6748323053780529,3.901964392826595e-07,3.965208511025015e-07,-0.5232685431599172,4.490730390193328e-08,4.635751144022165e-08,-0.8074846962664598,7.807777994950261e-08,7.970703002799984e-08,-0.6087530030946315
1.253751561086167e-05,1.2802337333500225e-05,-0.4566887315327377,1.6740126805359228e-05,1.6944114457111892e-05,-0.3538124937066152,2.307960476677185e-06,2.3714749526159995e-06,-0.5832389945009114,3.058987110687265e-06,3.1091779999309287e-06,-0.458379203466298,4.35240111858355e-07,4.4997013905637626e-07,-0.7263344184091592,5.966737682685764e-07,6.086428008153593e-07,-0.5624091225221935,8.654010613743196e-08,8.99406554071887e-08,-0.8701305429028205,1.3408725533295634e-07,1.3718095705926866e-07,-0.6552502264390297
1.0010414248141432e-05,1.0194624233693029e-05,-0.4391636271312729,1.3901608076336626e-05,1.4053616123888785e-05,-0.3402420864297921,1.7170518674860347e-06,1.7580972854565018e-06,-0.5594129709949078,2.408160098046287e-06,2.4435740278225267e-06,-0.4379426655165021,3.074369103576487e-07,3.167591865871942e-07,-0.694988008058302,4.4861487660972666e-07,4.564917639707753e-07,-0.5404828932583954,5.683148446005273e-08,5.8839297872215594e-08,-0.8427989900724921,9.316902975838137e-08,9.5196500166506e-08,-0.636224404541559
8.464465704245892e-06,8.607452165831977e-06,-0.4285995170268373,1.2139208631447842e-05,1.226265447803059e-05,-0.3326087907985838,1.3655541745667437e-06,1.396611757393883e-06,-0.5440182196155147,2.0590035933740213e-06,2.0865679659435835e-06,-0.425807184700901,2.315348849243893e-07,2.3793905140364807e-07,-0.6780820175581257,3.705207078491637e-07,3.766654675596738e-07,-0.5222371448130612,4.1491145913433005e-08,4.292645074201041e-08,-0.8111164045783343,6.624095233982369e-08,6.752609900744839e-08,-0.6301359910498205
1.1855270485639775e-05,1.209285656110224e-05,-0.4512860977802893,1.6688901747199494e-05,1.6886408505881585e-05,-0.3447186405211087,2.064379843430227e-06,2.1190645735422704e-06,-0.5797599066355983,3.0291314861404965e-06,3.075390943071711e-06,-0.4490173552775403,4.038589478820626e-07,4.171053177008182e-07,-0.7047092516097053,5.618982522775983e-07,5.728453867979665e-07,-0.5512396659770898,7.761939176170711e-08,8.051192757763269e-08,-0.8611040757333404,1.2541025947626804e-07,1.281949948946119e-07,-0.6541396916527733
7.972211833917882e-06,8.103158710101786e-06,-0.4231105618995871,1.2146422367898914e-05,1.226538928257321e-05,-0.3260267264890105,1.2229492949908255e-06,1.2490203806495208e-06,-0.5475465015727712,2.0368385645755392e-06,2.0627401970882047e-06,-0.4207345325508736,2.178134244348131e-07,2.2334229033104677e-07,-0.6672710890305963,3.659121267641379e-07,3.717494646983366e-07,-0.5109428916963856,3.78201043883838e-08,3.925760008918692e-08,-0.7715581623905061,6.627833481656394e-08,6.755861623907824e-08,-0.6104459787968596
1.0254656689808338e-05,1.0445219583496018e-05,-0.4400330971850535,1.4372062612254729e-05,1.4531069132707724e-05,-0.340213331142023,1.7137716058772316e-06,1.7555921341720087e-06,-0.5653127418126739,2.51611110714802e-06,2.553836932498398e-06,-0.437563587484856,3.248846695266945e-07,3.3405380811926e-07,-0.6972641336605182,4.649537921409699e-07,4.73376113440465e-07,-0.5365630798952754,6.176920015482293e-08,6.38713473694934e-08,-0.8352223113024627,9.120998753463785e-08,9.317418458451352e-08,-0.6404430802881693
9.264491772295384e-06,9.431216241325498e-06,-0.4355963986628977,1.3120989257890369e-05,1.3260694501374038e-05,-0.3378018752566407,1.5531351790652684e-06,1.5895601828955984e-06,-0.5581858967815149,2.223139710079102e-06,2.254571292535144e-06,-0.4349168958767663,2.9579242547476105e-07,3.042903109460903e-07,-0.6805466055436799,4.211690663414642e-07,4.281930390360392e-07,-0.5325574872835711,5.073946803675852e-08,5.241039816075609e-08,-0.8268947158055445,7.932607205326012e-08,8.090856550085869e-08,-0.6386942273898797
